lat,lng
33.977952,-84.025205
33.898783,-84.039744
34.024547,-84.050914
33.945989,-83.986112
33.999320,-83.919655
34.020364,-83.951507
34.021825,-83.954632
33.957780,-84.041851
33.953083,-84.052759
33.900583,-83.871411
34.012844,-83.971778
33.929626,-84.049802
33.934525,-83.960620
33.957453,-83.891473
34.018797,-84.045261
33.885298,-83.946465
33.911422,-84.053633
34.019520,-83.958186
33.872687,-84.053275
33.967181,-83.899292
33.917592,-83.921900
34.004571,-83.913869
33.909097,-83.981608
34.027472,-84.019905
33.926239,-83.941108
34.018939,-83.994859
33.926525,-83.869647
33.989663,-83.958041
33.969581,-83.941212
33.933556,-83.992224
33.869198,-83.894467
33.873306,-84.054813
34.006634,-83.983176
33.895254,-84.029676
33.999558,-83.989437
34.031443,-83.915479
33.953656,-83.924260
33.895887,-83.920765
33.911646,-83.892359
33.970057,-84.058646
33.931118,-84.007857
33.947134,-84.045919
33.871019,-83.982816
33.917494,-83.972031
34.030836,-83.914046
34.028254,-83.879789
34.013972,-84.055152
33.999389,-84.061523
33.869681,-83.933503
33.902835,-83.903426
34.009941,-83.972483
34.006376,-83.904222
34.004815,-84.065417
33.873296,-83.972887
33.990640,-83.939166
33.900158,-83.969148
33.910155,-83.889916
33.948903,-84.001416
33.902138,-84.030359
34.035649,-83.974282
33.891783,-83.975623
33.939754,-83.917480
33.880303,-83.906634
34.022947,-83.955149
33.997199,-83.897496
33.965661,-83.992300
34.011924,-83.875502
34.016479,-83.905381
33.877803,-84.024871
34.008351,-83.977844
33.895921,-83.913528
33.930487,-83.920120
33.979330,-83.972261
34.036439,-83.898210
33.909304,-83.957400
33.891012,-83.945537
33.956460,-83.898880
33.991064,-83.962209
33.918079,-84.045548
33.898350,-83.916656
33.956501,-83.885629
34.015817,-83.990589
33.977563,-83.898991
33.991088,-83.936554
33.888240,-84.017985
33.953458,-83.923010
33.978457,-83.975754
34.007333,-84.036081
33.941325,-83.874303
33.989863,-83.930760
33.937722,-83.903030
33.940768,-83.887744
34.020874,-84.048347
33.984805,-84.007466
33.947474,-84.050737
33.933657,-83.995406
33.882455,-84.060979
33.880898,-83.942929
33.926500,-83.870552
33.880126,-84.033600
